"COD_ORGANICO";"ORGANICO";"COD_FUNCIONAL";"FUNCIONAL";"COD_ECONOMICO";"ECONOMICO";"COD_CAPITULO";"CAPITULO";"COD_ARTICULO";"ARTICULO";"COD_CONCEPTO";"CONCEPTO";"COD_PARTIDA";"PARTIDA";"CREDITO_PRESUPUESTARIO"
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22000";"Ordinario no inventariable.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"106/23200/22000";"Ordinario no inventariable. Políticas de Igualdad";2900
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22001";"Prensa, revistas, libros y otras publicaciones.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"106/23200/22001";"Prensa, revistas, libros y otras publicaciones. Políticas de Igualdad";200
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22300";"Transportes";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"223";"Transportes.";"106/23200/22300";"Transportes. Políticas de Igualdad";13500
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22602";"Publicidad y propaganda.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"106/23200/22602";"Publicidad y propaganda. Políticas de Igualdad";29000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22606";"Reuniones, conferencias y cursos.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"106/23200/22606";"Reuniones, conferencias y cursos. Políticas de Igualdad";54400
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22699";"Otros gastos diversos.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"106/23200/22699";"Otros gastos diversos. Políticas de Igualdad";16500
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22706";"Estudios y trabajos técnicos.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"227";"Trabajos realizados por otras empresas y profesion";"106/23200/22706";"Estudios y trabajos técnicos. Políticas de Igualdad";137300
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"22799";"Otros trabajos realizados por otras empresas y pro";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"227";"Trabajos realizados por otras empresas y profesion";"106/23200/22799";"Otros trabajos realizados por otras empresas y profesionales. Políticas de Igualdad";24000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"24000";"Edición de publicaciones y distribución";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"24";"Gastos de publicaciones.";"240";"Gastos de edición y distribución.";"106/23200/24000";"Edición de publicaciones y distribución. Políticas de Igualdad";5000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"48020";"Otras transferencias";"4";"TRANSFERENCIAS CORRIENTES.";"48";"A Familias e Instituciones sin fines de lucro.";"480";"Transfs. a familias e institucs. sin fines de lucr";"106/23200/48020";"Otras transferencias. Políticas de Igualdad";114000
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"12000";"Retribuciones básicas funcionarios";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"120";"Retribuciones básicas.";"107/17200/12000";"Retribuciones básicas funcionarios. Medio Ambiente";136000
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"12100";"Complemento de destino.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"107/17200/12100";"Complemento de destino. Medio Ambiente";62000
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"12101";"Complemento específico.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"107/17200/12101";"Complemento específico. Medio Ambiente";149000
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"12103";"Otros complementos.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"107/17200/12103";"Otros complementos. Medio Ambiente";1000
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"16000";"Seguridad Social.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"160";"Cuotas sociales.";"107/17200/16000";"Seguridad Social. Medio Ambiente";108000
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"20400";"Material de transporte";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"20";"Arrendamientos y cánones.";"204";"Material de transporte.";"107/17200/20400";"Material de transporte. Medio Ambiente";100
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"20900";"Cánones.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"20";"Arrendamientos y cánones.";"209";"Cánones.";"107/17200/20900";"Cánones. Medio Ambiente";100
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"21300";"Maquinaria, instalaciones técnicas y utillaje.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"21";"Reparaciones, mantenimiento y conservación.";"213";"Maquinaria, instalaciones técnicas y utillaje.";"107/17200/21300";"Maquinaria, instalaciones técnicas y utillaje. Medio Ambiente";100
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"22000";"Ordinario no inventariable.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"107/17200/22000";"Ordinario no inventariable. Medio Ambiente";1600
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"22103";"Combustibles y carburantes.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"221";"Suministros.";"107/17200/22103";"Combustibles y carburantes. Medio Ambiente";800
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"22104";"Vestuario.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"221";"Suministros.";"107/17200/22104";"Vestuario. Medio Ambiente";400
"107";"MEDIO AMBIENTE";"17200";"Medio Ambiente";"22111";"Repuestos maquinaria, utilillaje y elem. transport";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"221";"Suministros.";"107/17200/22111";"Repuestos maquinaria, utilillaje y elem. transport Medio Ambiente";500
